,main_image,price_clean,year_clean,age_clean,mileage_clean,dealer_rating,location,title,subtitle,url
0,https://m.atcdn.co.uk/a/media/w480/067a78660f664291af04f0984cbe06f0.jpg,42900,2020,5,11000,,Milton Keynes (45 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £42,900",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202307290195451?sort=mileage&searchId=ba4a740f-1e1c-4dda-917a-9a72a66bf926&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26flrfc%3D1
1,https://m.atcdn.co.uk/a/media/w480/47225bdf9ada45b595bc287c1d866791.jpg,35000,2019,6,53000,,Market Harborough (79 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £35,000",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202307300230639?sort=mileage&searchId=f95cc2a3-d61a-432b-8382-98694462e5ee&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2019&year-to=2019&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2019%26year-to%3D2019%26refresh%3Dtrue%26flrfc%3D1
2,https://m.atcdn.co.uk/a/media/w480/b62a05fd872f4470aec76aa603805733.jpg,21500,2021,4,6675,,Bradford (175 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £21,500",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202410135144167?sort=mileage&searchId=f91af687-9200-4530-b0f1-ec82561cb563&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
3,https://m.atcdn.co.uk/a/media/w480/54f726414701431ca931c990b9216dd0.jpg,17985,2020,5,51146,3.7,Luton (31 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £17,985",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202410155207019?sort=mileage&twcs=true&searchId=81a3e584-4064-4709-b806-56a216287ca5&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=3&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D6%26flrfc%3D1
4,https://m.atcdn.co.uk/a/media/w480/298cf2544b7f4818a001d6d8d0b3fdf7.jpg,14990,2019,6,97583,4.7,Luton (31 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £14,990",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202410285688959?sort=most-recent&searchId=0350a6fc-c14e-4c85-93f5-a3cc23bd13fe&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=2&postcode=e27bp&year-from=2019&year-to=2019&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2019%26year-to%3D2019%26refresh%3Dtrue%26page%3D2%26flrfc%3D1
5,https://m.atcdn.co.uk/a/media/w480/d954bad9a48d44bc9faaae4895de27b8.jpg,18750,2020,5,25000,5,Tonbridge (30 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £18,750",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202411146289210?journey=PROMOTED_LISTING_JOURNEY&sort=most-recent&searchId=9e167ec4-c83b-456a-90f6-b53998cdfe07&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26flrfc%3D1
6,https://m.atcdn.co.uk/a/media/w480/0832769025624c4195fa965be26dc860.jpg,16495,2020,5,47731,5,Bristol (107 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £16,495",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202411256704901?sort=mileage&twcs=true&searchId=81a3e584-4064-4709-b806-56a216287ca5&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=3&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D6%26flrfc%3D1
7,https://m.atcdn.co.uk/a/media/w480/dad2ae40890c4f6e861e86baca5c6842.jpg,15695,2020,5,59433,4.3,Walsall (108 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £15,695",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202411256728625?sort=mileage&twcs=true&searchId=81a3e584-4064-4709-b806-56a216287ca5&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=4&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D6%26flrfc%3D1
8,https://m.atcdn.co.uk/a/media/w480/0d9888f4f2ff479cb5dc6e466ad248f8.jpg,17995,2020,5,49500,,Solihull (98 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £17,995",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202412147281271?sort=most-recent&searchId=ec972114-334f-4896-8fa4-bd3e6818887c&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=5&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D5%26flrfc%3D1
9,https://m.atcdn.co.uk/a/media/w480/a03ae00d4cca46a1920ff800212c95c2.jpg,20295,2020,5,19532,5,Romford (12 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £20,295",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202501137997916?sort=most-recent&searchId=ec972114-334f-4896-8fa4-bd3e6818887c&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=5&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D5%26flrfc%3D1
